TransactionID,Date,CustomerID,CustomerName,Branch,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerNameWasMissing,ProductCategoryWasMissing,UnitPriceWasMissing,PaymentMethodWasMissing,Year,Month,MonthName,YearMonth,DayOfWeek,DayNumber,IsWeekend,City,CalculatedTotal,TotalDifference
TXN101590,2025-05-19,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Bakery,Chocolate Cake Slice,2,171.29,342.58,Khalti,False,False,False,False,2025,5,May,2025-05,Monday,0,False,Pokhara,342.58,0.0
TXN103282,2025-03-07,CUST1005,Milan Lama,Butwal - Traffic Chowk,Personal Care,Dove Soap,3,149.59,448.77,eSewa,False,False,False,False,2025,3,March,2025-03,Friday,4,False,Butwal,448.77,0.0
TXN103539,2025-10-05,CUST1130,Alina Rai,Bhaktapur - Suryabinayak,Apparel,Winter Jacket,4,2794.25,11177.0,Khalti,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Bhaktapur,11177.0,0.0
TXN102479,2025-11-12,CUST1057,Neha Karki,Kathmandu - New Road,Household,Surf Excel 1kg,4,399.62,1598.48,Cash,False,False,False,False,2025,11,November,2025-11,Wednesday,2,False,Kathmandu,1598.48,0.0
TXN104408,2025-10-09,CUST1005,Milan Lama,Butwal - Traffic Chowk,Beverages,Gorkha Beer (6-pack),2,281.01,562.02,eSewa,False,False,False,False,2025,10,October,2025-10,Thursday,3,False,Butwal,562.02,0.0
TXN103523,2025-01-16,CUST1041,Sushma Bhattarai,Bhaktapur - Suryabinayak,Dairy,DDC Milk 1L,3,223.65,670.95,Cash,False,False,False,False,2025,1,January,2025-01,Thursday,3,False,Bhaktapur,670.95,0.0
TXN100212,2025-10-21,CUST1065,Rohit Poudel,Butwal - Traffic Chowk,Grocery,Sugar 1kg,3,437.17,1311.51,Cash,False,False,False,False,2025,10,October,2025-10,Tuesday,1,False,Butwal,1311.51,0.0
TXN104948,2025-11-01,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,Electronics,USB Cable Type-C,4,1630.72,6522.88,Cash,False,True,False,False,2025,11,November,2025-11,Saturday,5,True,Bhaktapur,6522.88,0.0
TXN101028,2025-05-04,CUST1127,Sunita Adhikari,Kathmandu - New Road,Grocery,Wai Wai Noodles (pack),2,383.62,767.24,Debit/Credit Card,False,False,False,False,2025,5,May,2025-05,Sunday,6,True,Kathmandu,767.24,0.0
TXN100962,2025-07-13,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Beverages,Gorkha Beer (6-pack),1,448.71,448.71,eSewa,False,False,False,False,2025,7,July,2025-07,Sunday,6,True,Butwal,448.71,0.0
TXN102518,2025-04-02,CUST1093,Aashish Magar,Bhaktapur - Suryabinayak,Grocery,Sugar 1kg,4,130.41,521.64,Cash,False,False,False,False,2025,4,April,2025-04,Wednesday,2,False,Bhaktapur,521.64,0.0
TXN105417,2025-10-12,CUST1102,Sandip Tamang,Butwal - Traffic Chowk,Household,Steel Lunch Box,1,1177.7,1177.7,Debit/Credit Card,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Butwal,1177.7,0.0
TXN104760,2025-09-20,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Electronics,Extension Board,3,3200.73,9602.19,Cash,False,False,False,False,2025,9,September,2025-09,Saturday,5,True,Lalitpur,9602.19,0.0
TXN105458,2025-10-01,CUST1096,Sabnam Magar,Pokhara - Lakeside,Personal Care,Sanitary Pads Pack,1,290.43,290.43,eSewa,False,False,False,False,2025,10,October,2025-10,Wednesday,2,False,Pokhara,290.43,0.0
TXN103178,2025-01-01,CUST1015,Sushma Bhattarai,Kathmandu - Kupondole,Personal Care,Head & Shoulders Shampoo,3,402.43,1207.29,Khalti,False,False,False,False,2025,1,January,2025-01,Wednesday,2,False,Kathmandu,1207.29,0.0
TXN105632,2025-04-26,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Personal Care,Dove Soap,2,138.3,276.6,Debit/Credit Card,False,False,False,False,2025,4,April,2025-04,Saturday,5,True,Butwal,276.6,0.0
TXN101006,2025-09-10,CUST1057,Neha Karki,Kathmandu - New Road,Beverages,Tea Leaves (Ilam) 250g,4,382.56,1530.24,Khalti,False,True,False,False,2025,9,September,2025-09,Wednesday,2,False,Kathmandu,1530.24,0.0
TXN101525,2025-07-06,CUST1003,Kiran Adhikari,Kathmandu - Kupondole,Grocery,Sugar 1kg,4,367.14,1468.56,Khalti,False,False,False,False,2025,7,July,2025-07,Sunday,6,True,Kathmandu,1468.56,0.0
TXN100920,2025-06-22,CUST1088,Deepak Lama,Kathmandu - Kupondole,Electronics,USB Cable Type-C,3,1701.43,5104.29,Cash,False,False,False,False,2025,6,June,2025-06,Sunday,6,True,Kathmandu,5104.29,0.0
TXN102790,2025-09-16,CUST1046,Sarita Karki,Butwal - Traffic Chowk,Apparel,Cotton T-Shirt,1,2463.49,2463.49,eSewa,False,False,False,False,2025,9,September,2025-09,Tuesday,1,False,Butwal,2463.49,0.0
TXN101977,2025-07-30,CUST1008,Alina Tamang,Bhaktapur - Suryabinayak,Bakery,Khari Biscuit Pack,3,223.3,669.9,Khalti,False,False,False,False,2025,7,July,2025-07,Wednesday,2,False,Bhaktapur,669.9,0.0
TXN101541,2025-09-04,CUST1020,Deepak Magar,Biratnagar - Main Road,Bakery,Sliced Bread,4,166.78,667.12,Khalti,False,False,False,False,2025,9,September,2025-09,Thursday,3,False,Biratnagar,667.12,0.0
TXN105535,2025-05-15,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Dairy,Paneer 250g,4,209.83,839.32,eSewa,False,False,False,False,2025,5,May,2025-05,Thursday,3,False,Butwal,839.32,0.0
TXN104540,2025-12-17,CUST1008,Alina Tamang,Bhaktapur - Suryabinayak,Grocery,Wheat Flour 5kg,4,368.29,1473.16,Debit/Credit Card,False,False,False,False,2025,12,December,2025-12,Wednesday,2,False,Bhaktapur,1473.16,0.0
TXN102096,2025-09-06,CUST1069,Bijay Magar,Lalitpur - Pulchowk,Personal Care,Nivea Body Lotion,3,128.08,384.24,Khalti,False,False,False,False,2025,9,September,2025-09,Saturday,5,True,Lalitpur,384.24,0.0
TXN101749,2025-09-07,CUST1073,Bikash Shrestha,Kathmandu - New Road,Personal Care,Nivea Body Lotion,1,615.7,615.7,Cash,False,False,False,False,2025,9,September,2025-09,Sunday,6,True,Kathmandu,615.7,0.0
TXN105399,2025-10-24,CUST1070,Alina Rai,Kathmandu - Kupondole,Household,Harpic Toilet Cleaner,1,374.01,374.01,Unknown,False,False,False,True,2025,10,October,2025-10,Friday,4,False,Kathmandu,374.01,0.0
TXN100161,2025-11-05,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Grocery,Wheat Flour 5kg,1,184.54,184.54,Debit/Credit Card,False,False,False,False,2025,11,November,2025-11,Wednesday,2,False,Lalitpur,184.54,0.0
TXN101202,2025-12-26,CUST1135,Sabina Bhattarai,Lalitpur - Pulchowk,Beverages,Tea Leaves (Ilam) 250g,4,396.14,1584.56,Khalti,False,False,False,False,2025,12,December,2025-12,Friday,4,False,Lalitpur,1584.56,0.0
TXN102943,2025-10-05,CUST1044,Puja Magar,Butwal - Traffic Chowk,Apparel,Formal Shirt,4,1943.16,7772.64,eSewa,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Butwal,7772.64,0.0
TXN101645,2025-12-21,CUST1013,Kiran Shrestha,Biratnagar - Main Road,Apparel,Socks (3-pair pack),2,2977.06,5954.12,eSewa,False,False,False,False,2025,12,December,2025-12,Sunday,6,True,Biratnagar,5954.12,0.0
TXN104506,2025-10-21,CUST1117,Prakash Shrestha,Pokhara - Lakeside,Dairy,Paneer 250g,1,84.65,84.65,Cash,False,False,False,False,2025,10,October,2025-10,Tuesday,1,False,Pokhara,84.65,0.0
TXN102842,2025-05-02,CUST1070,Alina Rai,Kathmandu - Kupondole,Grocery,Salt 1kg,4,265.6,1062.4,Bank Transfer,False,False,False,False,2025,5,May,2025-05,Friday,4,False,Kathmandu,1062.4,0.0
TXN100612,2025-11-16,CUST1125,Neha Basnet,Kathmandu - New Road,Bakery,Chocolate Cake Slice,4,137.05,548.2,Cash,False,False,False,False,2025,11,November,2025-11,Sunday,6,True,Kathmandu,548.2,0.0
TXN102805,2025-08-22,CUST1036,Sunita Maharjan,Kathmandu - Kupondole,Personal Care,Head & Shoulders Shampoo,3,363.18,1089.54,eSewa,False,False,False,False,2025,8,August,2025-08,Friday,4,False,Kathmandu,1089.54,0.0
TXN101948,2025-06-09,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Apparel,Winter Jacket,4,1541.58,6166.32,Cash,False,False,False,False,2025,6,June,2025-06,Monday,0,False,Kathmandu,6166.32,0.0
TXN105931,2025-04-30,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,Personal Care,Dove Soap,1,481.22,481.22,Cash,False,False,False,False,2025,4,April,2025-04,Wednesday,2,False,Bhaktapur,481.22,0.0
TXN101725,2025-05-25,CUST1000,Rohit Gurung,Pokhara - Lakeside,Apparel,Cotton T-Shirt,2,1295.48,2590.96,Khalti,False,False,False,False,2025,5,May,2025-05,Sunday,6,True,Pokhara,2590.96,0.0
TXN100716,2025-10-14,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Personal Care,Head & Shoulders Shampoo,1,455.73,455.73,Cash,False,False,False,False,2025,10,October,2025-10,Tuesday,1,False,Lalitpur,455.73,0.0
TXN101121,2025-11-20,CUST1004,Rajesh Adhikari,Kathmandu - Kupondole,Household,Surf Excel 1kg,4,382.75,1531.0,Cash,False,False,False,False,2025,11,November,2025-11,Thursday,3,False,Kathmandu,1531.0,0.0
TXN103572,2025-05-28,CUST1005,Milan Lama,Lalitpur - Pulchowk,Beverages,Nescafe Coffee 100g,4,245.35,981.4,Khalti,False,False,False,False,2025,5,May,2025-05,Wednesday,2,False,Lalitpur,981.4,0.0
TXN104341,2025-04-19,CUST1073,Bikash Shrestha,Kathmandu - New Road,Grocery,Salt 1kg,3,445.66,1336.98,eSewa,False,False,False,False,2025,4,April,2025-04,Saturday,5,True,Kathmandu,1336.98,0.0
TXN100439,2025-02-21,CUST1013,Kiran Shrestha,Pokhara - Lakeside,Electronics,Power Bank 10000mAh,3,1192.86,3578.58,Cash,False,False,False,False,2025,2,February,2025-02,Friday,4,False,Pokhara,3578.58,0.0
TXN103224,2025-10-09,CUST1093,Aashish Magar,Bhaktapur - Suryabinayak,Beverages,Nescafe Coffee 100g,1,129.98,129.98,Cash,False,False,False,False,2025,10,October,2025-10,Thursday,3,False,Bhaktapur,129.98,0.0
TXN104729,2025-01-22,CUST1075,Deepak Magar,Butwal - Traffic Chowk,Electronics,USB Cable Type-C,4,1688.29,6753.16,Cash,False,False,True,False,2025,1,January,2025-01,Wednesday,2,False,Butwal,6753.16,0.0
TXN101362,2025-09-13,CUST1102,Sandip Tamang,Butwal - Traffic Chowk,Personal Care,Dove Soap,4,169.77,679.08,Cash,False,False,False,False,2025,9,September,2025-09,Saturday,5,True,Butwal,679.08,0.0
TXN103686,2025-11-03,CUST1047,Rita Adhikari,Kathmandu - Kupondole,Beverages,Gorkha Beer (6-pack),1,185.4,185.4,Cash,False,False,False,False,2025,11,November,2025-11,Monday,0,False,Kathmandu,185.4,0.0
TXN103777,2025-10-05,CUST1050,Manisha Rai,Pokhara - Lakeside,Electronics,Extension Board,3,1475.54,4426.62,Cash,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Pokhara,4426.62,0.0
TXN102973,2025-04-26,CUST1059,Rajesh Shrestha,Kathmandu - Kupondole,Bakery,Chocolate Cake Slice,2,43.88,87.76,eSewa,False,False,False,False,2025,4,April,2025-04,Saturday,5,True,Kathmandu,87.76,0.0
TXN105743,2025-01-24,CUST1073,Bikash Shrestha,Kathmandu - New Road,Bakery,Chocolate Cake Slice,2,66.19,132.38,Cash,True,False,False,False,2025,1,January,2025-01,Friday,4,False,Kathmandu,132.38,0.0
TXN102556,2025-05-18,CUST1136,Bikash Gurung,Lalitpur - Pulchowk,Household,LED Bulb 9W,2,333.34,666.68,Cash,False,False,False,False,2025,5,May,2025-05,Sunday,6,True,Lalitpur,666.68,0.0
TXN100680,2025-10-10,CUST1061,Bikash Shrestha,Bhaktapur - Suryabinayak,Grocery,Red Lentil (Masoor Dal) 1kg,3,218.14,654.42,Cash,False,False,False,False,2025,10,October,2025-10,Friday,4,False,Bhaktapur,654.42,0.0
TXN100286,2025-09-19,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Grocery,Red Lentil (Masoor Dal) 1kg,1,432.58,432.58,Cash,False,False,False,False,2025,9,September,2025-09,Friday,4,False,Lalitpur,432.58,0.0
TXN100364,2025-10-19,CUST1149,Sarita Poudel,Butwal - Traffic Chowk,Apparel,Socks (3-pair pack),1,1395.0,1395.0,Cash,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Butwal,1395.0,0.0
TXN101094,2025-08-22,CUST1127,Sunita Adhikari,Kathmandu - New Road,Apparel,Formal Shirt,4,2322.97,9291.88,Khalti,False,False,False,False,2025,8,August,2025-08,Friday,4,False,Kathmandu,9291.88,0.0
TXN101563,2025-06-10,CUST1019,Sarita Magar,Kathmandu - Kupondole,Grocery,Mustard Oil 1L,1,181.67,181.67,eSewa,False,False,False,False,2025,6,June,2025-06,Tuesday,1,False,Kathmandu,181.67,0.0
TXN104780,2025-10-14,CUST1142,Rohit Maharjan,Lalitpur - Pulchowk,Beverages,Coca-Cola 1.5L,2,245.56,491.12,Khalti,False,False,False,False,2025,10,October,2025-10,Tuesday,1,False,Lalitpur,491.12,0.0
TXN101880,2025-03-26,CUST1145,Manisha Adhikari,Biratnagar - Main Road,Electronics,Wall Clock,3,3087.93,9263.79,Debit/Credit Card,False,False,False,False,2025,3,March,2025-03,Wednesday,2,False,Biratnagar,9263.79,0.0
TXN103952,2025-03-24,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Household,Surf Excel 1kg,2,749.38,1498.76,Cash,False,False,False,False,2025,3,March,2025-03,Monday,0,False,Pokhara,1498.76,0.0
TXN104488,2025-03-28,CUST1137,Sunita Tamang,Kathmandu - New Road,Bakery,Chocolate Cake Slice,3,301.26,903.78,eSewa,False,False,False,False,2025,3,March,2025-03,Friday,4,False,Kathmandu,903.78,0.0
TXN100842,2025-09-12,CUST1083,Rohit Shrestha,Kathmandu - New Road,Dairy,Nimbus Cheese Slices,4,268.2,1072.8,Khalti,False,False,False,False,2025,9,September,2025-09,Friday,4,False,Kathmandu,1072.8,0.0
TXN103665,2025-11-11,CUST1112,Nabin Magar,Butwal - Traffic Chowk,Household,Surf Excel 1kg,1,206.02,206.02,Cash,False,False,False,False,2025,11,November,2025-11,Tuesday,1,False,Butwal,206.02,0.0
TXN102062,2025-04-19,CUST1100,Sujan Shrestha,Pokhara - Lakeside,Apparel,Formal Shirt,1,1230.62,1230.62,Khalti,False,False,False,False,2025,4,April,2025-04,Saturday,5,True,Pokhara,1230.62,0.0
TXN104849,2025-09-27,CUST1001,Deepak Lama,Bhaktapur - Suryabinayak,Dairy,Butter 200g,4,143.69,574.76,Khalti,False,False,False,False,2025,9,September,2025-09,Saturday,5,True,Bhaktapur,574.76,0.0
