CustomerID,CustomerName,Transactions,LineItems,TotalSpend,AverageBasketValue
CUST1002,Kritika Bhattarai,221,661,1286840.72,5822.8086877828055
CUST1025,Kiran Poudel,198,613,1097045.67,5540.634696969697
CUST1052,Aashish Poudel,200,615,1072696.01,5363.48005
CUST1149,Sarita Poudel,172,510,947133.89,5506.59238372093
CUST1100,Sujan Shrestha,179,531,920019.05,5139.7712290502795
CUST1020,Deepak Magar,138,423,782933.61,5673.431956521739
CUST1039,Sabina Thapa,152,429,774413.97,5094.82875
CUST1061,Bikash Shrestha,144,429,741952.36,5152.446944444444
CUST1003,Kiran Adhikari,123,406,701884.52,5706.378211382114
CUST1118,Alina Shrestha,135,389,690781.19,5116.897703703703
CUST1057,Neha Karki,117,358,665763.64,5690.287521367522
CUST1019,Sarita Magar,116,353,659355.97,5684.103189655172
CUST1130,Alina Rai,107,327,617819.84,5774.017196261682
CUST1005,Milan Lama,96,295,563252.96,5867.218333333333
CUST1014,Neha Basnet,93,293,562519.1,6048.5924731182795
CUST1110,Sushma Karki,109,318,549550.88,5041.75119266055
CUST1012,Sabina Maharjan,92,283,547238.89,5948.248804347826
CUST1070,Alina Rai,96,303,535099.13,5573.949270833334
CUST1135,Sabina Bhattarai,94,271,511154.79,5437.816914893617
CUST1041,Sushma Bhattarai,90,263,440944.74,4899.3859999999995
CUST1069,Bijay Magar,61,202,428382.9,7022.670491803278
CUST1010,Anita Karki,72,226,426406.34,5922.3102777777785
CUST1015,Sushma Bhattarai,63,206,425080.01,6747.301746031746
CUST1013,Kiran Shrestha,72,209,413332.7,5740.731944444445
CUST1078,Bijay Magar,74,212,411108.62,5555.521891891892
CUST1108,Neha Karki,65,207,408258.79,6280.904461538461
CUST1055,Rohit Poudel,71,228,394415.17,5555.143239436619
CUST1112,Nabin Magar,59,191,390048.63,6610.99372881356
CUST1093,Aashish Magar,81,237,390026.99,4815.148024691358
CUST1056,Alina Shrestha,70,212,389424.5,5563.207142857143
CUST1102,Sandip Tamang,75,227,380663.43,5075.5124
CUST1046,Sarita Karki,60,186,341777.44,5696.290666666667
CUST1009,Sushma Rai,57,166,340889.13,5980.511052631579
CUST1101,Sabnam Bhattarai,64,197,340648.76,5322.636875
CUST1050,Manisha Rai,68,210,332796.97,4894.073088235295
CUST1123,Sujan Tamang,51,149,306947.57,6018.579803921569
CUST1008,Alina Tamang,53,174,301165.75,5682.372641509434
CUST1032,Deepak Khadka,52,164,299967.15,5768.599038461539
CUST1097,Milan Basnet,53,161,295372.28,5573.061886792453
CUST1031,Sabnam Khadka,58,168,293325.96,5057.344137931035
CUST1036,Sunita Maharjan,50,144,286685.99,5733.7198
CUST1128,Milan Karki,53,170,275112.41,5190.8001886792445
CUST1138,Bikash Tamang,49,133,270719.63,5524.890408163265
CUST1073,Bikash Shrestha,50,161,265437.24,5308.7447999999995
CUST1040,Puja Gurung,31,103,255021.72999999998,8226.507419354839
CUST1119,Nabin Maharjan,41,130,239561.03,5842.951951219512
CUST1088,Deepak Lama,41,122,229872.11,5606.636829268293
CUST1095,Neha Khadka,37,120,227979.45,6161.606756756757
CUST1059,Rajesh Shrestha,35,106,227246.1,6492.745714285715
CUST1080,Sandip Basnet,44,122,223368.72,5076.561818181818
CUST1045,Sunita Magar,38,121,217423.8,5721.678947368421
CUST1016,Neha Poudel,45,123,216322.12,4807.158222222222
CUST1140,Sabnam Poudel,50,137,215730.33,4314.6066
CUST1004,Rajesh Adhikari,40,116,213983.65,5349.5912499999995
CUST1136,Bikash Gurung,36,106,213090.91999999998,5919.192222222223
CUST1066,Kritika Khadka,29,99,198421.44,6842.1186206896555
CUST1106,Prakash Shrestha,31,96,194124.36000000002,6262.076129032258
CUST1115,Rohit Maharjan,43,124,188414.31,4381.728139534884
CUST1127,Sunita Adhikari,25,85,176946.91999999998,7077.876799999999
CUST1060,Kritika Tamang,31,93,172214.68,5555.312258064516
CUST1085,Sunita Magar,34,106,164798.04,4847.001176470589
CUST1034,Kritika Tamang,33,94,162455.62,4922.897575757575
CUST1000,Rohit Gurung,27,95,161228.25,5971.416666666667
CUST1131,Sabnam Maharjan,30,97,159207.91,5306.930333333334
CUST1042,Manisha Basnet,31,86,158602.28,5116.202580645161
CUST1028,Rita Maharjan,25,68,156591.76,6263.6704
CUST1035,Rita Shrestha,29,84,156364.91,5391.893448275862
CUST1048,Kritika Rai,22,62,151894.44,6904.2927272727275
CUST1049,Sarita Bhattarai,25,82,147375.44,5895.0176
CUST1137,Sunita Tamang,28,79,146400.7,5228.596428571428
CUST1142,Rohit Maharjan,30,93,145857.49,4861.916333333333
CUST1044,Puja Magar,26,76,145662.94,5602.420769230769
CUST1067,Anita Shrestha,20,70,145014.78,7250.739
CUST1038,Anita Magar,30,88,142014.75,4733.825
CUST1023,Bikash Rai,24,73,139443.74,5810.155833333333
CUST1081,Puja Khadka,27,72,135906.91,5033.589259259259
CUST1139,Sabnam Adhikari,27,76,133809.56,4955.909629629629
CUST1024,Rajesh Adhikari,22,76,132676.59,6030.75409090909
CUST1096,Sabnam Magar,23,71,127794.54,5556.284347826087
CUST1017,Nabin Lama,26,69,120844.54,4647.866923076923
CUST1068,Sarita Adhikari,19,57,117845.97,6202.419473684211
CUST1011,Neha Magar,17,54,107021.13,6295.360588235294
CUST1145,Manisha Adhikari,23,68,106110.63,4613.505652173913
CUST1114,Sabnam Khadka,19,60,104981.6,5525.347368421052
CUST1107,Rajesh Basnet,12,39,101600.09,8466.674166666666
CUST1054,Sujan Poudel,12,43,96943.65,8078.6375
CUST1083,Rohit Shrestha,22,60,93295.21,4240.691363636364
CUST1007,Sunita Karki,20,56,90367.66,4518.383
CUST1111,Sandip Gurung,24,67,89238.39,3718.26625
CUST1058,Alina Lama,17,54,88269.15000000001,5192.30294117647
CUST1098,Bijay Khadka,16,50,87270.81999999999,5454.4262499999995
CUST1022,Bijay Gurung,14,40,86765.37000000001,6197.526428571428
CUST1077,Prakash Basnet,17,37,85774.94,5045.584705882353
CUST1063,Rohit Basnet,18,48,84539.28,4696.626666666667
CUST1065,Rohit Poudel,12,42,81083.97,6756.9975
CUST1043,Neha Maharjan,14,44,80034.07,5716.719285714286
CUST1053,Deepak Bhattarai,21,45,75959.75,3617.1309523809523
CUST1105,Sandip Magar,12,40,75066.73,6255.560833333333
CUST1121,Sushma Adhikari,15,38,74358.1,4957.206666666666
CUST1091,Rajesh Thapa,17,42,71819.66,4224.685882352941
