TransactionID,Date,CustomerID,CustomerName,Branch,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerNameWasMissing,ProductCategoryWasMissing,UnitPriceWasMissing,PaymentMethodWasMissing,Year,Month,MonthName,YearMonth,DayOfWeek,DayNumber,IsWeekend,City,CalculatedTotal,TotalDifference
TXN103539,2025-10-05,CUST1130,Alina Rai,Bhaktapur - Suryabinayak,Apparel,Winter Jacket,4,2794.25,11177.0,Khalti,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Bhaktapur,11177.0,0.0
TXN104948,2025-11-01,CUST1098,Bijay Khadka,Bhaktapur - Suryabinayak,Electronics,USB Cable Type-C,4,1630.72,6522.88,Cash,False,True,False,False,2025,11,November,2025-11,Saturday,5,True,Bhaktapur,6522.88,0.0
TXN104760,2025-09-20,CUST1052,Aashish Poudel,Lalitpur - Pulchowk,Electronics,Extension Board,3,3200.73,9602.19,Cash,False,False,False,False,2025,9,September,2025-09,Saturday,5,True,Lalitpur,9602.19,0.0
TXN100920,2025-06-22,CUST1088,Deepak Lama,Kathmandu - Kupondole,Electronics,USB Cable Type-C,3,1701.43,5104.29,Cash,False,False,False,False,2025,6,June,2025-06,Sunday,6,True,Kathmandu,5104.29,0.0
TXN102943,2025-10-05,CUST1044,Puja Magar,Butwal - Traffic Chowk,Apparel,Formal Shirt,4,1943.16,7772.64,eSewa,False,False,False,False,2025,10,October,2025-10,Sunday,6,True,Butwal,7772.64,0.0
TXN101645,2025-12-21,CUST1013,Kiran Shrestha,Biratnagar - Main Road,Apparel,Socks (3-pair pack),2,2977.06,5954.12,eSewa,False,False,False,False,2025,12,December,2025-12,Sunday,6,True,Biratnagar,5954.12,0.0
TXN101948,2025-06-09,CUST1025,Kiran Poudel,Kathmandu - Kupondole,Apparel,Winter Jacket,4,1541.58,6166.32,Cash,False,False,False,False,2025,6,June,2025-06,Monday,0,False,Kathmandu,6166.32,0.0
TXN104729,2025-01-22,CUST1075,Deepak Magar,Butwal - Traffic Chowk,Electronics,USB Cable Type-C,4,1688.29,6753.16,Cash,False,False,True,False,2025,1,January,2025-01,Wednesday,2,False,Butwal,6753.16,0.0
TXN101094,2025-08-22,CUST1127,Sunita Adhikari,Kathmandu - New Road,Apparel,Formal Shirt,4,2322.97,9291.88,Khalti,False,False,False,False,2025,8,August,2025-08,Friday,4,False,Kathmandu,9291.88,0.0
TXN101880,2025-03-26,CUST1145,Manisha Adhikari,Biratnagar - Main Road,Electronics,Wall Clock,3,3087.93,9263.79,Debit/Credit Card,False,False,False,False,2025,3,March,2025-03,Wednesday,2,False,Biratnagar,9263.79,0.0
